time;x;y;z;absolute
0.000990708;0.211959229;-1.477128296;9.638456726;9.753290869
0.010991708;0.185164948;-1.552272034;9.629325714;9.755395852
0.020992708;0.110320587;-1.666634216;9.719138947;9.861617621
0.030993708;0.061372375;-1.720222778;9.813442841;9.963262185
0.040994708;0.053588562;-1.683099976;9.846823425;9.989776215
0.050995708;0.089663544;-1.638642426;9.781259766;9.917975154
0.060996708;0.171393585;-1.551822968;9.665550385;9.790832167
0.070997708;0.145946503;-1.519041138;9.669142914;9.788825826
0.080998708;0.089663544;-1.576820984;9.790390778;9.91696302
0.090999708;0.073796539;-1.614392853;9.891430664;10.02258005
0.100999708;0.071700897;-1.6615448;9.897567902;10.03632017
0.111000708;0.064066772;-1.680106201;9.842482452;9.985054943
0.121001708;0.082478485;-1.638193359;9.77138031;9.908095344
0.131002708;0.103584595;-1.605710907;9.742340698;9.874322233
0.141003708;0.118703156;-1.604064331;9.756561127;9.888255551
0.151004708;0.115709381;-1.61005188;9.770931244;9.903370794
0.161005708;0.126936035;-1.603764954;9.786049805;9.917406191
0.171006708;0.129331055;-1.587897949;9.773326263;9.902325619
0.181007708;0.149539032;-1.576820984;9.791438599;9.918719482
0.191008708;0.149539032;-1.572480011;9.805659027;9.932069485
0.201009708;0.128881989;-1.580413513;9.812095642;9.939393258
0.211010708;0.126936035;-1.586700439;9.814041595;9.942290656
0.221011708;0.131426697;-1.605261841;9.812245331;9.943555551
0.231011708;0.131426697;-1.598675537;9.780511322;9.911177436
0.241012708;0.137713623;-1.596430206;9.768835602;9.899378943
0.251013708;0.146395569;-1.595532074;9.758058014;9.888723399
0.261014708;0.14624588;-1.590891724;9.77377533;9.903484666
0.271015708;0.136815491;-1.582958221;9.783505096;9.911682359
0.281016708;0.134719849;-1.594035187;9.793085175;9.922883394
0.291017708;0.126187592;-1.59134079;9.800868988;9.930021236
0.301018708;0.126486969;-1.592089233;9.805659027;9.934872724
0.311019708;0.123642883;-1.606010284;9.802665253;9.934123145
0.321020708;0.115260315;-1.606159973;9.797575836;9.929024477
0.331021708;0.111967163;-1.603764954;9.805060272;9.935985387
0.341022708;0.119152222;-1.590442657;9.786049805;9.915163936
0.351023708;0.108973389;-1.58774826;9.795330505;9.923775463
0.361024708;0.109272766;-1.587897949;9.793683929;9.92217745
0.371024708;0.103734283;-1.601669312;9.776619415;9.90749174
0.381025708;0.100890198;-1.605261841;9.783355408;9.914690487
0.391026708;0.095202026;-1.607806549;9.7900914;9.921693149
0.401027708;0.098195801;-1.607806549;9.785001984;9.916700466
0.411028708;0.105081482;-1.594334564;9.795480194;9.924937131
0.421029708;0.110919342;-1.581311646;9.793683929;9.921143812
0.431030708;0.113014984;-1.582658844;9.792935486;9.920643469
0.441031708;0.099243622;-1.579814758;9.798923035;9.925953687
0.451032708;0.105680237;-1.569486237;9.789941711;9.915513808
0.461033708;0.110170898;-1.567540283;9.797276459;9.922496973
0.471034708;0.106129303;-1.582958221;9.795779572;9.923422674
0.481035708;0.120349731;-1.5819104;9.803264008;9.930806099
0.491036708;0.11930191;-1.572480011;9.796827393;9.922940758
0.501036708;0.118403778;-1.57966507;9.795480194;9.922741225
0.511037708;0.123493195;-1.588197327;9.796977081;9.925642611
0.521038708;0.118852844;-1.600322113;9.793833618;9.924431158
0.531039708;0.114062805;-1.609453125;9.798923035;9.93087319
0.541040708;0.114511871;-1.611548767;9.799222412;9.931513595
0.551041708;0.113613739;-1.607806549;9.786947937;9.918785203
0.561042708;0.106578369;-1.606309662;9.774673462;9.906353061
0.571043708;0.098195801;-1.608405304;9.764943695;9.897006386
0.581044708;0.108973389;-1.604513397;9.776619415;9.908008157
0.591045708;0.111817474;-1.612297211;9.797426147;9.929832051
0.601046708;0.110170898;-1.608105927;9.790839844;9.922635091
0.611047708;0.112416229;-1.605261841;9.790690155;9.922052041
0.621048708;0.11705658;-1.606459351;9.789642334;9.92126559
0.631048708;0.117505646;-1.603914642;9.803114319;9.934153215
0.641049708;0.127983856;-1.606609039;9.797276459;9.928957573
0.651050708;0.138312378;-1.599573669;9.781409454;9.912302313
0.661051708;0.133222961;-1.595382385;9.78425354;9.914363855
0.671052708;0.124241638;-1.594334564;9.801916809;9.931511054
0.681053708;0.120349731;-1.595831451;9.796677704;9.926532935
0.691054708;0.110919342;-1.603315887;9.786798248;9.91788006
0.701055708;0.099542999;-1.604363708;9.790989532;9.922064692
0.711056083;0.112266541;-1.592987366;9.785600739;9.915048882
0.721057083;0.116008759;-1.596579895;9.779164124;9.909317653
0.731058083;0.098495178;-1.596729584;9.789941711;9.919788575
0.741059083;0.106129303;-1.600172424;9.784852295;9.915399621
0.751060083;0.096698914;-1.588796082;9.794132996;9.922633965
0.761061083;0.10059082;-1.585652618;9.785301361;9.913452248
0.771061083;0.106578369;-1.587448883;9.807305603;9.935521934
0.781062083;0.111817474;-1.596879272;9.798623657;9.928522153
0.791063083;0.108374634;-1.594184875;9.804611206;9.933960508
0.801064083;0.105979614;-1.592987366;9.800868988;9.93004901
0.811065083;0.105081482;-1.589993591;9.797575836;9.926309183
0.821066083;0.111667786;-1.585053864;9.802066498;9.93002382
0.831067083;0.115709381;-1.582958221;9.784103851;9.912004518
0.841068083;0.107476501;-1.580263824;9.77961319;9.90704896
0.851069083;0.10762619;-1.582658844;9.781409454;9.909205989
0.861070083;0.107177124;-1.581311646;9.796977081;9.92435355
0.871071083;0.099393311;-1.579814758;9.795031128;9.922113106
0.881072083;0.098794556;-1.584006042;9.791887665;9.919672351
0.891073083;0.09595047;-1.580862579;9.780361633;9.907764968
0.901073083;0.106728058;-1.579964447;9.783355408;9.91068724
0.911074083;0.116906891;-1.579515381;9.787397003;9.914720175
0.921075083;0.113613739;-1.579515381;9.801617432;9.928720018
0.931076083;0.106278992;-1.590891724;9.81239502;9.941092884
0.941077083;0.106728058;-1.596430206;9.809850311;9.939474001
0.951078083;0.116757202;-1.603914642;9.823921051;9.954677254
0.961079083;0.107326813;-1.603166199;9.81583786;9.946473435
0.971080083;0.120200043;-1.597028961;9.806856537;9.936769328
0.981081083;0.127983856;-1.589694214;9.808353424;9.937167829
0.991082083;0.122595062;-1.595532074;9.788744202;9.918682634
1.001083083;0.127834167;-1.599423981;9.777966614;9.908740068
1.011084083;0.130678253;-1.622326355;9.783205719;9.917667757
1.021085083;0.116906891;-1.629212036;9.779164124;9.91463817
1.031086083;0.12753479;-1.629212036;9.784403229;9.919936669
1.041086083;0.125289459;-1.636397095;9.786199493;9.922862159
1.051087083;0.127385101;-1.626068573;9.80176712;9.936546918
1.061088083;0.115110626;-1.616638184;9.805509338;9.93855034
1.071089083;0.107775879;-1.61005188;9.801168365;9.933115525
1.081090083;0.112416229;-1.600172424;9.778116302;9.908821707
1.091091083;0.116607513;-1.593286743;9.786199493;9.91573802
1.101092083;0.112266541;-1.606309662;9.782756653;9.914391672
1.111093083;0.108973389;-1.609752502;9.778565369;9.91077792
1.121094083;0.109871521;-1.608255615;9.765392761;9.897547861
1.131095083;0.12049942;-1.599124603;9.771829376;9.90254356
1.141096083;0.119900665;-1.591789856;9.781559143;9.910957087
1.151097083;0.123493195;-1.595681763;9.775870972;9.906013533
1.161098083;0.120948486;-1.591939545;9.793983307;9.923255971
1.171098083;0.105530548;-1.596879272;9.806407471;9.936135445
1.181099083;0.099093933;-1.597028961;9.810748444;9.940377565
1.191100083;0.101638641;-1.595382385;9.811347198;9.940729813
1.201101083;0.105380859;-1.592388611;9.805808716;9.934822152
1.211102083;0.105380859;-1.591789856;9.796378326;9.925418298
1.221103083;0.099542999;-1.588646393;9.802814941;9.931207728
1.231104083;0.098495178;-1.579515381;9.791588287;9.918657738
1.241105083;0.098046112;-1.588646393;9.789492645;9.918042985
1.251106083;0.095501404;-1.590292969;9.789043579;9.917838799
1.261107083;0.092956696;-1.599124603;9.791438599;9.921598171
1.271108083;0.098794556;-1.606309662;9.791737976;9.923110585
1.281109083;0.096549225;-1.613644409;9.787097626;9.919700095
1.291110083;0.088466034;-1.614093475;9.790540466;9.923094608
1.301110083;0.098644867;-1.601369934;9.79712677;9.92762859
1.311111083;0.095351715;-1.597478027;9.799671478;9.929480806
1.321112083;0.098046112;-1.598226471;9.791737976;9.921797896
1.331113083;0.082927551;-1.593137054;9.788295135;9.917443436
1.341114083;0.088466034;-1.597627716;9.798623657;9.928407029
1.351115083;0.08771759;-1.587598572;9.792785797;9.921029043
1.361116083;0.089064789;-1.593735809;9.792037354;9.921286303
1.371117083;0.088316345;-1.592238922;9.793683929;9.922664434
1.381118083;0.08547226;-1.579814758;9.789342957;9.91636807
1.391119083;0.09714798;-1.578317871;9.780960388;9.907962008
1.401120083;0.097447357;-1.570384369;9.789792023;9.915423889
1.411121083;0.097746735;-1.561702423;9.801018677;9.92514161
1.421122083;0.09714798;-1.566043396;9.810598755;9.935279441
1.431123083;0.122145996;-1.567839661;9.806557159;9.931847973
1.441123083;0.133222961;-1.588047638;9.806856537;9.935495901
1.451124083;0.151784363;-1.573078766;9.80760498;9.934119526
1.461125083;0.147742767;-1.578018494;9.790989532;9.918439712
1.471126083;0.15447876;-1.5819104;9.789492645;9.917684733
1.481127083;0.156275024;-1.591789856;9.776769104;9.906736644
1.491128083;0.161813507;-1.602417755;9.77841568;9.910163444
1.501129083;0.170345764;-1.609153748;9.787247314;9.920111061
1.511130083;0.161663818;-1.636846161;9.770482178;9.907962582
1.521131083;0.159568176;-1.652413788;9.77841568;9.918333859
1.531132083;0.145347748;-1.653611298;9.781858521;9.921709147
1.541133083;0.155376892;-1.660796356;9.779313812;9.920552664
1.551134083;0.15911911;-1.666334839;9.776619415;9.918884911
1.561135083;0.158370667;-1.638043671;9.772428131;9.910026232
1.571135083;0.162711639;-1.61124939;9.767338715;9.900682059
1.581136083;0.165555725;-1.589245148;9.764045563;9.893922103
1.591137083;0.160166931;-1.561403046;9.770332489;9.895606594
1.601138083;0.165406036;-1.540895691;9.779912567;9.901939634
1.611139083;0.163609772;-1.543590088;9.803264008;9.925392875
1.621140083;0.152981873;-1.546284485;9.834249573;9.956247477
1.631141083;0.142503662;-1.543590088;9.829459534;9.950942286
1.641142083;0.134270782;-1.543739777;9.832303619;9.953660412
1.651143083;0.120200043;-1.542841644;9.830207977;9.951271138
1.661144083;0.11346405;-1.561103668;9.823322296;9.947239802
1.671145083;0.106278992;-1.57607254;9.807305603;9.933707418
1.681146083;0.095052338;-1.59598114;9.792336731;9.921998256
1.691147083;0.080083466;-1.616787872;9.792187042;9.925086572
1.701147083;0.07723938;-1.642085266;9.774074707;9.911354414
1.71115175;0.07843689;-1.65331192;9.754465485;9.89389658
1.72115275;0.079634399;-1.656305695;9.768685913;9.908426447
1.73115375;0.08547226;-1.658850403;9.764195251;9.90447369
1.74115475;0.093705139;-1.661395111;9.78889389;9.929323137
1.75115575;0.105231171;-1.66274231;9.796378326;9.937042513
1.76115675;0.105530548;-1.674717407;9.799222412;9.941859734
1.77115775;0.102237396;-1.688937836;9.800569611;9.945558214
1.78115875;0.105979614;-1.687890015;9.811646576;9.956335315
1.79115975;0.114062805;-1.678759003;9.798174591;9.94160286
1.80116075;0.120200043;-1.670376434;9.784103851;9.926393789
1.81116175;0.12992981;-1.642534332;9.773475952;9.911389054
1.82116275;0.134420471;-1.614093475;9.768386536;9.901754497
1.83116375;0.144000549;-1.593885498;9.770931244;9.901126426
1.84116375;0.137414246;-1.567540283;9.779164124;9.904954123
1.85116475;0.138911133;-1.547781372;9.799072723;9.921529606
1.86116575;0.143551483;-1.529519348;9.810149689;9.929706611
1.87116675;0.12169693;-1.50826355;9.831255798;9.947022653
1.88116775;0.119601288;-1.500629425;9.825717316;9.940367896
1.89116875;0.121397552;-1.502276001;9.819729767;9.934720089
1.90116975;0.106578369;-1.491498413;9.82871109;9.941805075
1.91117075;0.089364166;-1.507515106;9.822274475;9.937689048
1.92117175;0.093256073;-1.513802032;9.826914825;9.943266479
1.93117275;0.091459808;-1.521286469;9.81239502;9.93004398
1.94117375;0.095351715;-1.519639893;9.808652802;9.926130522
1.95117475;0.10418335;-1.51874176;9.796827393;9.914396485
1.96117575;0.104782104;-1.519639893;9.790989532;9.908771908
1.97117575;0.101488953;-1.523531799;9.799372101;9.917617795
1.98117675;0.098046112;-1.537901917;9.79832428;9.918765752
1.99117775;0.092357941;-1.559008026;9.79952179;9.923188163
2.00117875;0.099842377;-1.580263824;9.783654785;9.910958743
2.01117975;0.094303894;-1.594933319;9.787397003;9.916947394
2.02118075;0.117954712;-1.618883514;9.786798248;9.920489761
2.03118175;0.129480743;-1.62996048;9.789193268;9.924809382
2.04118275;0.123493195;-1.638193359;9.775421906;9.912507326
2.05118375;0.133821716;-1.632804565;9.776469727;9.912785649
2.06118475;0.144299927;-1.6217276;9.785900116;9.920416521
2.07118575;0.139958954;-1.630259857;9.801018677;9.936664572
2.08118675;0.142204285;-1.640588379;9.795330505;9.932786719
2.09118775;0.139958954;-1.640289001;9.78545105;9.922962701
2.10118775;0.158071289;-1.637744293;9.756411438;9.894177937
2.11118875;0.155526581;-1.618434448;9.763596497;9.898047036
2.12118975;0.163310394;-1.608255615;9.770482178;9.903306437
2.13119075;0.169747009;-1.596729584;9.774823151;9.90583298
2.14119175;0.15567627;-1.593286743;9.801018677;9.930899498
2.15119275;0.155526581;-1.579066315;9.812245331;9.939708113
2.16119375;0.16375946;-1.583706665;9.82167572;9.949887332
2.17119475;0.154927826;-1.584455109;9.814340973;9.942624872
2.18119575;0.141306152;-1.576521606;9.797875214;9.924905365
2.19119675;0.149089966;-1.564247131;9.789792023;9.915095802
2.20119775;0.153730316;-1.560055847;9.795330505;9.919975149
2.21119875;0.144748993;-1.548978882;9.790690155;9.913521148
2.22119975;0.129630432;-1.558259583;9.790540466;9.91461848
2.23119975;0.122744751;-1.567240906;9.795629883;9.920971481
2.24120075;0.117355957;-1.569186859;9.795629883;9.921213868
2.25120175;0.115559692;-1.577868805;9.791588287;9.918579797
2.26120275;0.130378876;-1.589843903;9.784702606;9.913879532
2.27120375;0.121996307;-1.579066315;9.785750427;9.913084533
2.28120475;0.121846619;-1.579515381;9.793833618;9.921133624
2.29120575;0.113613739;-1.584155731;9.789941711;9.917934068
2.30120675;0.115559692;-1.593436432;9.798773346;9.928159587
2.31120775;0.103285217;-1.602417755;9.789193268;9.920015894
2.32120875;0.104033661;-1.604812775;9.795330505;9.926466982
2.33120975;0.092357941;-1.603914642;9.802066498;9.932853558
2.34121075;0.088316345;-1.601519623;9.800868988;9.931248552
2.35121175;0.089962921;-1.610351257;9.79952179;9.931362032
2.36121175;0.098046112;-1.607806549;9.794432373;9.926004254
2.37121275;0.094004517;-1.611399078;9.786947937;9.919162957
2.38121375;0.085023193;-1.624272308;9.791887665;9.926054277
2.39121475;0.089364166;-1.61349472;9.782606964;9.915177769
2.40121575;0.091160431;-1.613195343;9.790839844;9.923268327
2.41121675;0.089962921;-1.605710907;9.800419922;9.931496941
2.42121775;0.098495178;-1.595831451;9.810149689;9.939588333
2.43121875;0.106877747;-1.585802307;9.798623657;9.926692167
2.44121975;0.101938019;-1.594633942;9.778864746;9.908554107
2.45122075;0.103883972;-1.588347015;9.792636108;9.921157194
2.46122175;0.096998291;-1.590442657;9.786049805;9.914922455
2.47122275;0.096399536;-1.596130829;9.787247314;9.917012478
2.48122275;0.098794556;-1.595382385;9.783505096;9.913222347
2.49122375;0.094154205;-1.584006042;9.787546692;9.915342173
2.50122475;0.092058563;-1.578018494;9.803713074;9.930327647
2.51122575;0.092208252;-1.580712891;9.820029144;9.946865235
2.52122675;0.091459808;-1.582958221;9.807904358;9.935245821
2.53122775;0.095651093;-1.587448883;9.804311829;9.932455563
2.54122875;0.10298584;-1.57846756;9.79592926;9.922821977
2.55122975;0.099093933;-1.578617249;9.784103851;9.911132135
2.56123075;0.092507629;-1.580862579;9.774224396;9.901673934
2.57123175;0.107177124;-1.589993591;9.768685913;9.897817488
2.58123275;0.110170898;-1.58310791;9.780661011;9.908566904
2.59123375;0.097896423;-1.58310791;9.783954163;9.911688727
2.60123475;0.108224945;-1.581161957;9.800719299;9.928035282
2.61123475;0.109721832;-1.582209778;9.808503113;9.935902575
2.62123575;0.106278992;-1.588047638;9.816885681;9.94507089
2.63123675;0.096399536;-1.58894577;9.820627899;9.94880766
2.64123775;0.100890198;-1.599124603;9.80880249;9.938812033
2.65123875;0.097447357;-1.594184875;9.791438599;9.920846296
2.66123975;0.114362183;-1.585353241;9.776769104;9.905131888
2.67124075;0.127085724;-1.578766937;9.757608948;9.885321856
2.68124175;0.135617981;-1.58310791;9.767638092;9.896028334
2.69124275;0.130678253;-1.57607254;9.782906342;9.909911097
2.70124375;0.12753479;-1.577569427;9.810748444;9.937594047
2.71124525;0.12169693;-1.588796082;9.824220428;9.952607204
2.72124625;0.107925568;-1.582658844;9.82751358;9.954721499
2.73124725;0.116607513;-1.57966507;9.804311829;9.931438439
2.74124725;0.11705658;-1.579964447;9.789492645;9.916862213
2.75124825;0.121098175;-1.580114136;9.784852295;9.912353902
2.76124925;0.112116852;-1.588197327;9.780361633;9.90910766
2.77125025;0.121397552;-1.598226471;9.781110077;9.911567967
2.78125125;0.127235413;-1.601519623;9.783205719;9.914240672
2.79125225;0.130528564;-1.602866821;9.79248642;9.923659105
2.80125325;0.128133545;-1.606159973;9.793234863;9.924898848
2.81125425;0.131426697;-1.582658844;9.794282684;9.922200124
2.82125525;0.125289459;-1.585802307;9.794432373;9.922770375
2.83125625;0.129331055;-1.590592346;9.801168365;9.930237251
